Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,61.700001,-79.760001,-90,top
C1,22pF,C_0402_1005Metric,82.500009,-79.760001,-90,top
C2,22pF,C_0402_1005Metric,77.250009,-79.730001,90,top
C2,22pF,C_0402_1005Metric,56.450001,-79.730001,90,top
C3,0.1uF,C_0402_1005Metric,74.800009,-78.580001,-90,top
C3,0.1uF,C_0402_1005Metric,54.000001,-78.580001,-90,top
C4,0.1uF,C_0402_1005Metric,83.700009,-63.220001,90,top
C4,0.1uF,C_0402_1005Metric,62.900001,-63.220001,90,top
C5,0.1uF,C_0402_1005Metric,55.920001,-78.100001,180,top
C5,0.1uF,C_0402_1005Metric,76.720009,-78.100001,180,top
C6,10uF,C_0402_1005Metric,53.000001,-65.320001,90,top
C6,10uF,C_0402_1005Metric,73.800009,-65.320001,90,top
C7,1uF,C_0402_1005Metric,52.900001,-78.580001,-90,top
C7,1uF,C_0402_1005Metric,73.700009,-78.580001,-90,top
F1,500mA,Fuse_1206_3216Metric,54.000001,-59.600001,90,top
F1,500mA,Fuse_1206_3216Metric,74.800009,-59.600001,90,top
J1,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,51.280001,-53.830001,0,top
J1,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,72.080009,-53.830001,0,top
J2,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,66.520001,-81.770001,180,top
J2,Conn_01x12,PinSocket_1x12_P2.54mm_Vertical,87.320009,-81.770001,180,top
R1,10k,C_0402_1005Metric,74.300009,-80.100001,0,top
R1,10k,C_0402_1005Metric,53.500001,-80.100001,0,top
R2,5.1k,C_0402_1005Metric,60.300001,-58.380001,90,top
R2,5.1k,C_0402_1005Metric,81.100009,-58.380001,90,top
R3,22k,C_0402_1005Metric,58.100001,-58.380001,90,top
R3,22k,C_0402_1005Metric,78.900009,-58.380001,90,top
R4,22k,C_0402_1005Metric,80.000009,-58.380001,90,top
R4,22k,C_0402_1005Metric,59.200001,-58.380001,90,top
R5,5.1k,C_0402_1005Metric,57.000001,-58.380001,90,top
R5,5.1k,C_0402_1005Metric,77.800009,-58.380001,90,top
R6,10k,C_0402_1005Metric,84.800009,-63.220001,-90,top
R6,10k,C_0402_1005Metric,64.000001,-63.220001,-90,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,58.877501,-70.877501,0,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,79.677509,-70.877501,0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,79.700009,-48.500001,180,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,58.900001,-48.500001,180,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,79.970009,-79.790001,180,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,59.170001,-79.790001,180,top
